unix,open,high,low,close,Volume BTC,Volume USDT,gains,losses,gains ave,losses ave,rs,rsi,rsi ma,rsi ema
1.52E+12,13500,13542.93,9035,10900,63401.16918,722150828.1,0,2639.93,4345.664909,7901.988241,0.549945757,35.48161314,49.28514367,50.29478253
1.52E+12,10899.99,11680.99,9037.94,10988.79,72331.79665,744154180.1,88.79,0,4124.050273,7337.56051,0.562046509,35.98141964,48.3866133,50.27580961
1.52E+12,10972.59,11878.82,10435.33,10961.97,48464.43494,541289614.1,0,26.82,3829.475253,6840.269045,0.559842782,35.89097495,47.79522525,49.58234345
1.52E+12,10960,11795,10360,11474.98,34129.37542,382773499.2,513.01,0,4068.951306,6351.678399,0.640610411,39.04707702,47.3063963,48.74533235
1.52E+12,11474.98,13099,11412.45,12799.94,28768.85783,358561107.8,1324.96,0,5103.271927,5897.987085,0.865256545,46.38807178,47.5678497,48.08025738
1.52E+12,12799.8,12799.8,10965,11530,41379.77343,485289230.8,0,1269.94,4738.752504,6746.642293,0.702386802,41.2589431,47.28133044,47.53855463
1.52E+12,11530,11926.35,9900.24,10760.05,43752.60679,475716514.2,0,769.95,4400.270182,7034.689272,0.625510241,38.48085514,46.92942288,47.55906118
1.52E+12,10760.05,11399,9905,10799.18,37473.92255,399419413.2,39.13,0,4125.095169,6532.211467,0.631500555,38.70673248,46.30549204,47.36464966
1.52E+12,10799.14,11570.48,10500,11349.99,27158.58776,299470607.4,550.81,0,4381.255514,6065.624933,0.722309006,41.93840962,45.78540299,47.05999092
1.52E+12,11349.96,11794.05,10950.21,11175.27,20839.95418,236081365,0,174.72,4068.308692,5807.08601,0.700576621,41.19641609,45.20017475,46.53184171
1.52E+12,11184.7,11643,10311.15,11089,33056.87196,360482470.2,0,86.27,3777.715214,5478.564152,0.689544762,40.81245892,44.23660882,46.00933461
1.52E+12,11089,11650,10842.69,11491,18860.76835,212663199.5,402,0,3909.878413,5087.238141,0.768566028,43.45701636,43.380472,45.44292271
