unix,close,gains,losses,gains ave,losses ave,rs,rsi
1.53265E+12,84.39,1.02,0,18.77321755,19.18459354,0.978556961,49.45811418
1.53274E+12,84.07,0,0.32,17.43227344,18.13426543,0.961289196,49.01312862
1.53282E+12,83.85,0,0.22,16.18711105,17.05896075,0.94889198,48.68879291
1.53291E+12,82.18,0,1.67,15.03088883,17.51046356,0.858394684,46.19011728
1.533E+12,78.69,0,3.49,13.95725391,19.74971616,0.706706557,41.4076195
1.53308E+12,77.53,0,1.16,12.96030721,19.49902215,0.664664469,39.9278342
1.53317E+12,76.11,0,1.42,12.03457098,19.52623485,0.616328292,38.13138056
1.53325E+12,77.7,1.59,0,12.76495876,18.13150379,0.704020963,41.31527595
1.53334E+12,73.13,0,4.57,11.853176,21.40639638,0.553721224,35.63838964
1.53343E+12,74.61,1.48,0,12.48652057,19.87736806,0.628177761,38.58164484
1.53351E+12,73.62,0,0.99,11.59462624,19.44755606,0.596199656,37.35119564
1.5336E+12,67.35,0,6.27,10.76643865,24.32844491,0.442545288,30.67808626
1.53369E+12,62.13,0,5.22,9.99740732,27.81069885,0.359480622,26.44249695
1.53377E+12,62.89,0.76,0,10.0433068,25.82422036,0.388910358,28.00111297
1.53386E+12,59.16,0,3.73,9.32592774,27.70963319,0.336559047,25.18100849
1.53395E+12,57.6,0,1.56,8.659790045,27.29037368,0.317320318,24.0883188
1.53403E+12,59.32,1.72,0,9.761233613,25.34106127,0.38519435,27.80796425
1.53412E+12,56.44,0,2.88,9.064002641,26.41098547,0.343190626,25.55040361
1.5342E+12,54.24,0,2.2,8.416573881,26.7244865,0.314938657,23.95082501
1.53429E+12,54.32,0.08,0,7.895390032,24.81559461,0.318162436,24.13681556
1.53438E+12,55.29,0.97,0,8.301433601,23.04305214,0.360257554,26.48451045
1.53446E+12,61.75,6.46,0,14.16847406,21.39711984,0.662167346,39.837586
1.53455E+12,57.04,0,4.71,13.1564402,24.57875414,0.535276936,34.86517143
1.53464E+12,57.67,0.63,0,12.84669447,22.82312884,0.562880513,36.01558201
1.53472E+12,53.39,0,4.28,11.92907344,25.47290536,0.468304391,31.89423079
1.53481E+12,56.42,3.03,0,14.10699676,23.65341212,0.596404303,37.35922672
1.5349E+12,55.14,0,1.28,13.09935414,23.24388268,0.56356136,36.0434438
1.53498E+12,57.29,2.15,0,14.31368598,21.58360534,0.663174004,39.87400011
1.53507E+12,57.82,0.53,0,13.82127984,20.04191925,0.689618577,40.81504469
1.53516E+12,57.89,0.07,0,12.90404557,18.61035359,0.693379925,40.94650672
1.53524E+12,56.99,0,0.9,11.98232803,18.18104262,0.659056154,39.72476474
1.53533E+12,60.61,3.62,0,14.74644745,16.88239672,0.873480685,46.62341556
1.53541E+12,63.13,2.52,0,16.21312978,15.67651124,1.034230738,50.84136811
1.5355E+12,61.41,0,1.72,15.05504908,16.27676043,0.924941369,48.05036579
1.53559E+12,60.23,0,1.18,13.97968843,16.29413469,0.85795832,46.17747939
1.53567E+12,62.04,1.81,0,14.79113926,15.13026793,0.977586076,49.43330094
1.53576E+12,66.49,4.45,0,18.18462931,14.0495345,1.294322549,56.41414934
1.53585E+12,66.21,0,0.28,16.88572722,13.32599632,1.26712681,55.89130721
1.53593E+12,65.44,0,0.77,15.67960384,13.14413944,1.192896949,54.39822194
1.53602E+12,67.6,2.16,0,16.71963214,12.20527234,1.369869649,57.80358636
1.53611E+12,57.82,0,9.78,15.5253727,21.11346717,0.735330326,42.37408377
