unix,open,high,low,close,Volume ETH,Volume USDT
1.59693E+12,397.05,400,383.36,390.14,594900.5813,233057462.9
1.59684E+12,379.34,397.05,375.79,397.03,623029.7805,240999198
1.59676E+12,394.77,398.26,362.85,379.34,1041207.359,398625567.1
1.59667E+12,400.72,403.66,390.51,394.77,821379.084,325718417.7
1.59659E+12,389.59,407,384.11,400.72,1124119.067,444335097.1
1.5965E+12,385.91,402.98,380.77,389.61,1180792.424,461794422.2
1.59641E+12,372.45,398,366.5,385.94,1191565.094,462170587.5
1.59633E+12,387.01,415.85,325,372.42,2324909.096,878397036.3
1.59624E+12,346.32,392.67,343.07,387,1440843.342,527543444.9
1.59615E+12,334.82,349.45,328.4,346.33,948088.4498,323282981
1.59607E+12,317.76,342,314.05,334.87,1008827.567,328286452.5
1.59598E+12,316.77,325,312.38,317.71,792802.3215,254201662.1
1.59589E+12,321.95,326.8,305.86,316.77,1093231.556,346187853.3
1.59581E+12,311.02,333.31,310.78,321.93,1636122.347,527292799.3
1.59572E+12,305.31,318.75,299,311,1270368.753,392346895.3
1.59564E+12,279.15,308.94,279.09,305.26,1058927.306,308799629.4
1.59555E+12,275.31,287.34,266,279.15,926033.0669,256347245.5
1.59546E+12,263.75,279.98,259.7,275.3,1068774.579,287217202.7
1.59538E+12,245.53,269.61,241.51,263.74,718417.683,180692677.2
1.59529E+12,236,246.66,235.57,245.59,637462.0807,154502240.9
1.5952E+12,239.12,239.72,234.05,236.01,396657.9194,94314378.94
1.59512E+12,235.67,239.92,233.28,239.11,348803.5207,82120072.99
1.59503E+12,232.66,236.8,232.32,235.67,341356.6182,80046747.83
1.59494E+12,233.58,234.84,231.65,232.67,325600.2144,75931058.42
1.59486E+12,238.59,239.39,230.02,233.57,587161.7389,137208323.2
1.59477E+12,240.45,241.45,236.83,238.61,368350.6652,88059682.48
1.59468E+12,239.5,242.09,237,240.44,426320.8919,102105027.1
1.5946E+12,242.76,245.33,237.33,239.5,604093.0425,146193291.9
1.59451E+12,239.19,244,236.52,242.79,469315.1172,112487552.4
1.59443E+12,241.27,241.67,237.54,239.19,294476.0063,70548557.68
1.59434E+12,241.97,242.16,235.72,241.26,455025.1239,108806462.5
1.59425E+12,246.94,247.9,237.88,241.98,647641.5829,157541370
1.59417E+12,239.39,248.88,237.78,246.95,958185.8371,233460700.8
1.59408E+12,241.6,243.77,234.4,239.39,600424.9721,143122828.4
1.59399E+12,227.54,242,226.93,241.6,864817.507,203334727.9
1.59391E+12,229.24,229.85,223.05,227.56,355747.1201,80528660.62
1.59382E+12,224.86,230.71,224.43,229.17,307726.4659,69899468.28
1.59373E+12,226.46,228.13,223.97,224.87,314578.5004,71286978.5
1.59365E+12,230.99,232.01,222.87,226.46,592485.9112,134976975.1
