unix,open,high,low,close,Volume LTC,Volume USDT
1569200000000,72.26,74.24,61.88,66.54,527501.7912,36517883.79
1569110000000,73.2,73.22,71.03,72.23,219392.1586,15823511.84
1569020000000,75.06,75.58,72.06,73.22,211641.792,15603395.97
1568940000000,76.56,77.08,72.78,75.05,286151.4773,21475382.84
1568850000000,77.77,80.9,72.62,76.56,516227.1249,38833965.37
1568760000000,74.06,80.3,73.98,77.81,463500.7271,35716016.27
1568680000000,72.67,77.59,72.15,74.04,331820.8469,24574442.89
1568590000000,70.04,73.67,69.36,72.63,267731.5817,19101962.98
1568510000000,70.49,71.28,69.5,70.04,123157.5878,8653254.987
1568420000000,68.93,71.5,68.2,70.5,179064.8702,12520755.78
1568330000000,69.18,69.58,67.36,68.93,156416.2924,10722817.41
1568250000000,69.8,70,68.3,69.15,135570.0889,9369849.094
1568160000000,70.85,71.81,68.25,69.8,208744.3415,14621909.77
1568070000000,69.86,73.1,69.77,70.85,315598.3371,22476093.85
1567990000000,70.36,71.38,67.73,69.89,229275.2666,15939720.85
1567900000000,68.77,71.46,68,70.36,315059.9283,22060121.02
1567810000000,64.88,70.57,64.53,68.77,305501.4772,20816429.34
1567730000000,65.24,68,63.54,64.87,278618.1643,18378132.73
1567640000000,67.02,67.39,64.14,65.23,166569.3618,10917424.28
1567560000000,69,69.24,66.4,67.01,219846.1354,14865189.89
1567470000000,66.92,71,66.47,69.06,286130.4796,19629532.35
1567380000000,65.85,68.03,64.8,66.92,210648.6609,13961846.03
1567300000000,64.23,67.21,63.74,65.89,160452.8576,10479308.76
1567210000000,64.18,65.39,62.25,64.24,148167.1588,9443772.205
1567120000000,63.55,65.6,62.16,64.17,188503.1443,12025139.09
1567040000000,66.73,66.77,62,63.59,206167.4786,13330132.47
1566950000000,72.88,73.14,65,66.73,295837.6773,20294112.37
1566860000000,73.59,73.75,72.13,72.9,92746.01751,6757231.102
1566780000000,72.12,75.46,72.09,73.54,186459.7251,13805533.13
1566690000000,73.32,74.93,70.56,72.1,143368.0788,10408156.41
1566600000000,75.37,75.65,71.39,73.32,119841.8672,8767152.954
1566520000000,73.38,75.92,72.1,75.38,138535.9005,10276202.44
1566430000000,73.18,74.64,71,73.31,159575.0856,11682713.56
1566350000000,75.13,75.33,70.14,73.27,188740.4871,13704139.36
1566260000000,77.1,77.3,73.31,75.14,130580.7691,9832675.851
1566170000000,76.31,78.95,75.36,77.1,176507.94,13616902.89
1566090000000,72.64,78,71.4,76.25,171800.8525,12945827.78
1566000000000,74.63,75.35,71.5,72.65,131039.8443,9606659.801
1565910000000,76.24,76.42,72.34,74.67,186709.0273,13900659.42
1565830000000,75.91,77.7,74.36,76.25,157703.3211,12030480.75
1565740000000,84.83,86.32,75,75.9,310895.4105,24988277.13
1565650000000,85.79,86.79,83.26,84.88,166783.8096,14166418.16
1565570000000,89.99,90.04,85.45,85.79,147573.8793,12841667.21
1565480000000,85.46,91.57,85.15,89.93,196951.4023,17439833.99
1565400000000,84.25,87.5,82.27,85.46,243663.591,20738077.44
1565310000000,90.08,90.45,82.64,84.24,245919.9803,21161127.88
1565220000000,90.59,92.75,87.72,90.15,227275.8501,20426334.74
1565140000000,93.05,94.45,87.36,90.59,298275.7561,27205898.74
1565050000000,96.56,99.32,91,92.99,370218.4967,35230611.39
1564960000000,92.68,106.77,92.68,96.56,708024.7331,70031157.19
1564880000000,94.15,94.8,90.11,92.64,210063.3443,19411525.59
1564790000000,94.8,96.7,93.51,94.17,187442.2664,17836682.37
1564700000000,98.62,98.77,92.52,94.76,284902.0267,27331986.48
1564620000000,98.77,100.59,95.23,98.64,256621.8003,25131509.02
1564530000000,90.12,99.95,89.81,98.76,280442.0191,26802062.26
1564440000000,90.33,92.71,88.5,90.15,166817.9333,15087913.97
1564360000000,90,92.26,87.48,90.33,233655.4407,21072179.11
1564270000000,88.83,90.9,83.13,90,201075.7721,17720374.43
1564190000000,94.01,96.09,86.67,88.79,250915.2499,22687995.29
1564100000000,93.23,94.52,89.83,94.06,169220.3203,15659054.23
1564010000000,94.43,96.67,91.06,93.22,228403.4838,21524096.42
1563930000000,90.1,97.45,86.8,94.5,355813.0883,32641378.14
1563840000000,95.31,95.35,88.62,90.15,264516.2157,24185689.35
1563750000000,99.74,100.91,91.14,95.31,318533.9601,30372489.13
1563670000000,100.26,101.41,96.4,99.7,247121.4314,24377591.97
1563580000000,98.25,105.88,97.42,100.25,355926.0234,35977421.6
1563490000000,101.15,101.26,94.73,98.23,366646.2398,35784995.42
1563410000000,89.98,104.5,86.87,101.16,609872.1013,58346175.14
1563320000000,79.62,94.65,71,89.95,611125.0826,53125198.93
1563240000000,90.43,91.91,76.6,79.61,483565.9321,40186396.04
1563150000000,89.67,92.99,84.6,90.43,382169.248,34028842.92
1563060000000,101.06,101.9,87.58,89.66,429594.9695,39918729.83
1562980000000,104.86,105.03,97.64,101.03,229252.9613,23255998.91
1562890000000,103,107.02,100.65,104.86,204977.5243,21385292.18
1562800000000,108.29,108.33,95.21,102.98,566917.4067,57565136.85
1562720000000,119.23,120.13,102.5,108.31,507821.3086,55824246.26
1562630000000,122.92,124.08,117.64,119.24,233440.1204,28157784.58
1562540000000,119.48,125.07,117.77,122.92,219116.9219,26320498.86
